 #  energy  xx  yy  zz  xy  xz  yz
         2.4404         2.0403         2.4406         0.0321        -2.1158         0.2540        -0.2740
         2.4407         0.3794         0.3940         0.0026         0.3393        -0.0074        -0.0215
         2.4410         2.6231         1.9895         0.0184        -2.0150         0.2099        -0.1875
         2.4411         2.8153         1.8199         0.0226        -2.0082         0.2454        -0.1970
         2.4411         1.2858         0.7511         0.0010         0.6701        -0.0146        -0.0255
         2.4414         2.6255         1.9285         0.0188        -1.9910         0.2127        -0.1866
         2.4414         1.1617         0.6460         0.0013         0.5969        -0.0123        -0.0263
         2.4416         1.9907         2.4050         0.0306        -2.0742         0.2443        -0.2665
         2.4420         0.3537         0.3975         0.0020         0.3255        -0.0081        -0.0209
         2.4422         0.0252         0.0301         0.0005         0.0273         0.0008         0.0003
         2.4422         2.0935         2.0917         0.0206        -2.0063         0.2050        -0.2058
         2.4423         0.6816         0.5310         0.0004         0.5308         0.0030        -0.0045
         2.4423         0.5834         0.3960         0.0006         0.4452        -0.0066        -0.0104
         2.4423         0.3010         0.0519         0.0023        -0.1234         0.0152        -0.0049
         2.4429         1.7631         0.9882         0.0011         1.0842        -0.0261        -0.0317
         2.4440         0.6667         0.5006         0.0003         0.5154        -0.0044        -0.0087
         2.4440         0.3129         0.0820         0.0025        -0.1602         0.0163        -0.0082
         2.4441         2.5322         1.9809         0.0166        -1.9740         0.1950        -0.1784
         2.4444         1.2885         0.7495         0.0006         0.6646        -0.0061        -0.0186
         2.4446         0.0138         0.0200         0.0006         0.0164        -0.0009        -0.0005
         2.4448         1.5346         0.8207         0.0011         0.9221        -0.0286        -0.0291
         2.4450         0.0804         0.0274         0.0005         0.0302         0.0042        -0.0005
         2.4450         1.9384         2.3715         0.0288        -2.0375         0.2347        -0.2561
         2.4456         1.7783         1.0185         0.0016         1.0998        -0.0214        -0.0344
         2.4457         3.0838         0.5644         0.0041        -0.0182         0.0918        -0.0288
         2.4457         2.5156         1.8126         0.0173        -1.8714         0.2002        -0.1729
         2.4458         0.3465         0.0512         0.0020        -0.1316         0.0201        -0.0066
         2.4459         1.2867         0.7602         0.0015         0.6858        -0.0074        -0.0276
         2.4460         2.2545         0.6480         0.0060        -0.2051         0.0982        -0.0416
         2.4470         1.9130         2.3793         0.0272        -2.0338         0.2257        -0.2507
         2.4471         3.1429         0.5847         0.0045         0.0056         0.0938        -0.0312
         2.4473         1.3036         0.7640         0.0008         0.6850        -0.0065        -0.0212
         2.4474         2.4635         1.9035         0.0156        -1.9007         0.1855        -0.1698
         2.4479         0.1373         0.0380         0.0010        -0.0705         0.0063        -0.0022
         2.4479         2.1952         0.6279         0.0056        -0.1940         0.0897        -0.0425
         2.4483         2.2560         0.6511         0.0062        -0.2320         0.1023        -0.0415
         2.4486         2.4586         1.8212         0.0165        -1.8438         0.1926        -0.1691
         2.4489         3.0518         0.5677         0.0044        -0.0303         0.0920        -0.0316
         2.4490         0.2795         0.0677         0.0018        -0.1361         0.0202        -0.0091
