 #  energy  xx  yy  zz  sp  sm
         2.4591         0.8673         1.5480         0.0144         0.1593         2.2560
         2.4591         0.3874         0.0729         0.0007         0.2278         0.2325
         2.4592         0.2123         0.0467         0.0020         0.0431         0.2160
         2.4592         0.0189         0.1323         0.0002         0.0517         0.0996
         2.4598         0.7245         1.4151         0.0155         0.1532         1.9864
         2.4598         1.2342         1.4414         0.0069         2.6362         0.0394
         2.4599         0.1943         0.0870         0.0008         0.2340         0.0473
         2.4599         0.1789         0.1421         0.0001         0.1473         0.1738
         2.4600         1.1195         1.3544         0.0079         2.4428         0.0312
         2.4602         0.3963         0.1255         0.0007         0.2583         0.2635
         2.4602         0.4578         1.0502         0.0059         0.3386         1.1694
         2.4603         0.0285         0.0589         0.0004         0.0069         0.0804
         2.4605         0.9220         1.4199         0.0031         1.8208         0.5211
         2.4606         0.1834         0.1253         0.0004         0.1324         0.1763
         2.4606         0.5642         1.2827         0.0048         0.3797         1.4673
         2.4610         0.2225         0.0296         0.0016         0.0635         0.1886
         2.4612         1.2054         1.4107         0.0074         2.5790         0.0371
         2.4617         0.1163         0.0334         0.0012         0.0246         0.1251
         2.4617         0.8194         1.5044         0.0145         0.1598         2.1641
         2.4619         0.2381         0.0757         0.0006         0.2479         0.0659
         2.4627         0.2742         0.1082         0.0004         0.1738         0.2087
         2.4628         1.0643         1.6177         0.0021         2.1160         0.5659
         2.4629         0.2731         0.1087         0.0008         0.1760         0.2058
         2.4630         0.2588         0.1935         0.0010         0.2114         0.2409
         2.4633         0.2163         0.0893         0.0005         0.2540         0.0516
         2.4636         0.3388         0.2571         0.0015         0.2685         0.3275
         2.4638         0.5279         1.1498         0.0057         0.3584         1.3194
         2.4641         0.1143         0.2893         0.0002         0.1586         0.2451
         2.4642         0.6618         1.4070         0.0054         0.4049         1.6639
         2.4644         0.4364         0.1024         0.0004         0.4475         0.0913
         2.4652         0.3371         0.2600         0.0007         0.0696         0.5274
         2.4654         1.0279         1.5822         0.0027         2.0400         0.5701
         2.4655         0.0986         0.1314         0.0000         0.0457         0.1843
         2.4659         1.0890         1.6679         0.0020         2.1665         0.5903
         2.4660         0.4660         0.2409         0.0024         0.3200         0.3868
         2.4664         0.3712         0.1785         0.0022         0.2327         0.3170
         2.4672         0.3356         0.2249         0.0004         0.0680         0.4925
         2.4673         0.6617         0.7381         0.0024         0.1492         1.2505
         2.4675         0.5565         0.5071         0.0014         0.9011         0.1625
         2.4677         0.4655         0.1040         0.0006         0.4844         0.0852
         2.4678         0.5163         0.1580         0.0010         0.5822         0.0920
         2.4679         0.6261         0.7153         0.0019         0.1417         1.1998
         2.4679         0.3581         0.2996         0.0012         0.0873         0.5704
         2.4689         0.5069         0.4289         0.0011         0.7914         0.1445
         2.4696         0.1906         0.2864         0.0004         0.1723         0.3047
         2.4698         0.5290         0.5101         0.0015         0.0951         0.9441
         2.4698         0.1774         0.2278         0.0006         0.1199         0.2853
         2.4714         1.7052         0.9460         0.0007         1.9480         0.7032
         2.4716         1.5714         1.1178         0.0009         0.7112         1.9779
         2.4717         0.2920         0.1831         0.0004         0.0730         0.4020
         2.4719         1.6928         3.0060         0.0294         1.4382         3.2607
         2.4719         0.5979         0.7542         0.0022         0.1335         1.2186
         2.4721         1.7012         2.9953         0.0291         1.3940         3.3026
         2.4723         1.5925         1.1490         0.0008         0.7155         2.0260
         2.4725         0.4506         0.1004         0.0008         0.4714         0.0796
         2.4725         1.9247         1.1376         0.0006         2.2639         0.7983
         2.4726         0.3921         0.3332         0.0013         0.0826         0.6428
         2.4726         0.5996         0.5768         0.0015         0.9970         0.1795
         2.4732         2.1518         2.0795         0.0171         2.8413         1.3900
         2.4732         0.5441         0.1694         0.0011         0.6219         0.0916
         2.4742         1.3464         0.9187         0.0010         0.5947         1.6704
         2.4746         0.3147         0.2297         0.0009         0.0682         0.4762
         2.4746         0.4612         0.1134         0.0009         0.4888         0.0857
         2.4746         2.2158         2.1248         0.0177         2.9003         1.4403
         2.4747         0.4217         0.3981         0.0009         0.0655         0.7543
         2.4748         0.4756         0.3773         0.0011         0.7222         0.1307
         2.4748         1.7004         0.9358         0.0008         1.9402         0.6960
         2.4759         0.5324         0.6622         0.0018         0.1088         1.0858
         2.4759         2.1104         2.0641         0.0152         2.8093         1.3651
         2.4761         1.4899         1.0593         0.0009         0.6616         1.8876
         2.4768         0.4721         0.3688         0.0013         0.3096         0.5313
         2.4772         1.3756         0.9114         0.0010         0.6119         1.6751
         2.4773         1.5841         2.8572         0.0272         1.2838         3.1574
         2.4774         1.6120         2.9165         0.0270         1.3975         3.1310
         2.4775         0.8195         0.7752         0.0005         1.1051         0.4896
         2.4782         1.4018         0.9472         0.0010         0.6237         1.7254
         2.4782         2.1430         2.0756         0.0158         2.8290         1.3895
         2.4782         1.9393         1.1514         0.0008         2.2858         0.8049
         2.4785         0.4866         0.4248         0.0008         0.7749         0.1364
         2.4788         2.0473         2.0074         0.0149         2.7504         1.3044
         2.4792         0.6797         0.5518         0.0014         0.4243         0.8072
         2.4792         1.9134         1.1121         0.0009         2.2357         0.7898
         2.4792         0.4350         0.3387         0.0007         0.6594         0.1144
         2.4794         0.6002         0.6160         0.0004         0.8215         0.3946
         2.4795         0.8318         0.7839         0.0007         1.1130         0.5026
         2.4796         0.4643         0.3529         0.0015         0.3200         0.4972
         2.4797         1.9724         1.9492         0.0147         2.6692         1.2524
